idhogar,rooms,r4m1,r4t1,paredblolad,pisomoscer,pisocemento,cielorazo,epared1,epared3,etecho1,etecho3,eviv1,eviv3,hogar_nin,edjefe,meaneduc,overcrowding,SQBescolari,SQBedjefe,SQBhogar_nin,SQBovercrowding,SQBmeaned,wall_material,floor_material,wall_quality,roof_quality,floor_quality,walls+roof+floor_quality,no_basic_facilities,extra_facilities,v18q-min,estadocivil1-sum,estadocivil1-mean,instlevel1-max,instlevel1-sum,instlevel1-mean,instlevel2-max,instlevel2-sum,instlevel2-mean,instlevel8-max,instlevel8-sum,instlevel8-mean,escolari-min,escolari-max,escolari-sum,escolari-mean,Target
21eb7fcc1,3,0,0,1,1,0,1,0,0,1,0,1,0,0,10.0,10.0,1.0,100,100,0,1.0,100.0,0,0,1,0,0,1,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,10,10,10,10.0,4
0e5d7a658,4,0,0,0,0,0,1,0,0,0,0,0,0,0,12.0,12.0,1.0,144,144,0,1.0,144.0,4,5,1,1,1,3,1,3,1,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,12,12,12,12.0,4
2c7317ea8,8,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0,11.0,0.5,121,0,0,0.25,121.0,4,0,1,2,2,5,1,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,11,11,11,11.0,4
2b58d945f,5,1,1,1,1,0,1,0,1,0,1,0,1,2,11.0,11.0,1.3333334,121,121,4,1.7777778999999998,121.0,0,0,2,2,2,6,1,3,1,1,0.25,0,0,0.0,1,1,0.25,0,0,0.0,2,11,33,8.25,4
d6dae86b7,2,2,2,1,1,0,1,1,0,1,0,0,0,2,9.0,10.0,4.0,81,81,4,16.0,100.0,0,0,0,0,1,1,1,2,0,1,0.25,1,1,0.25,1,1,0.25,0,0,0.0,0,11,23,5.75,4
bb2094100,3,0,0,0,1,0,1,0,1,0,1,0,1,1,0.0,23.0,1.0,121,0,1,1.0,529.0,2,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,11,12,23,11.5,4
c51f9c774,4,0,0,0,0,1,0,0,1,0,1,0,0,0,0.0,9.5,1.0,16,0,0,1.0,90.25,2,1,2,2,1,5,2,3,1,0,0.0,0,0,0.0,1,1,0.5,1,1,0.5,4,15,19,9.5,4
6893e65ca,2,0,0,0,0,0,1,1,0,1,0,1,0,2,0.0,17.0,4.0,100,0,4,16.0,289.0,4,5,0,0,0,0,1,2,0,0,0.0,0,0,0.0,1,1,0.25,0,0,0.0,2,11,34,8.5,4
d29058053,4,0,0,1,1,0,1,0,1,0,1,0,1,0,15.0,13.5,1.0,225,225,0,1.0,182.25,0,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.5,12,15,27,13.5,4
ec0e8edce,3,0,0,0,0,0,1,1,0,1,0,1,0,0,4.0,10.0,2.0,16,16,0,4.0,100.0,4,5,0,0,0,0,1,2,0,0,0.0,0,0,0.0,1,1,0.5,1,1,0.5,4,16,20,10.0,4
3e16fab89,1,0,0,1,1,0,1,0,1,0,1,0,1,0,6.0,10.333333,3.0,36,36,0,9.0,106.77777,0,0,2,2,2,6,2,2,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.3333333333333333,6,13,31,10.333333333333334,4
